,news_title,url
0,검찰 지휘부 초유 총사퇴…박병석 검수완박 중재안 반발,https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013132191
1,"여야, 검수완박 중재안 합의…28일 또는 29일 처리키로",https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013132308
2,"尹당선인 ""부산엑스포 유치에 역량 결집"", 최태원 ""기업 힘 모을것""",https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013131995
3,"김은혜 ""철의 여인 될 것…당심·민심 분리돼있지 않아""",https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013131822
4,"강원지사 출신 '원조 친노' 이광재, 12년만 재차출",https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013132143
5,월요일부터 영화관·KTX서도 취식…시내·마을버스는 금지,https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013131545
6,코로나 임시검사소 단계적 축소…서울광장 등 23곳 문 닫아,https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013132019
7,"HDC현산, 4억원대 과징금 내고 '8개월 영업정지' 피해",https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013132281
8,日 기시다 내각 첫 외교청서도 '독도=일본 땅' 억지 되풀이,https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013131760
9,"유동규 측 ""극단 선택 시도 후 회복 안 돼""…대장동 재판 불출석",https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013132341
